red,ir,freq
110197,121026,50
110671,122297,
110732,122811,
110509,122690,
110361,122606,
110174,122440,
109984,122252,
109796,122011,
109607,121729,
109532,121618,
109438,121502,
109373,121405,
109345,121408,
109319,121426,
109294,121404,
109258,121371,
109216,121331,
109195,121326,
109199,121362,
109207,121383,
109227, 121410,
109189, 121397,
109166, 121366,
109131, 121350,
109101, 121336,
109079, 121314,
109064, 121316,
109047, 121294,
109018, 121289,
109001, 121307,
109037,121300,
109031,121327,
109033, 121341,
109020, 121314,
109006, 121294,
108984, 121261,
108945, 121229,
108935, 121234,
108940, 121252,
108921, 121236,
108888, 121193,
108821, 121128,
108774, 121044,
108721, 120933,
108683, 120869,
108671, 120857,
108664, 120890,
108677, 120928,
108686, 120967,
108695, 121006,
108702, 121029,
108716, 121091,
108723, 121139,
108716, 121163,
108712, 121183,
108693, 121166,
108659, 121132,
108642, 121129,
108659, 121132,
108647, 121136,
108631, 121124,
108621, 121106,
108606, 121094,
108606, 121100,
108612, 121134,
108621, 121163,
108598, 121151,
108611, 121155,
108588, 121191,
108593, 121200,
108605, 121231,
108595, 121231,
108567, 121202,
108527, 121160,
108528, 121159,
108538, 121202,
108542, 121212,
108543, 121233,
108530, 121226,
108527, 121220,
108515, 121235,
108505, 121234,
108494, 121220,
108485, 121217,
108472, 121232,
108473, 121233,
108468, 121220,
108448, 121228,
108436, 121198,
108442, 121238,
108443, 121245,
108426, 121218,
108403, 121151,
108361, 121063,
108328, 121000,
108324, 120995,
108329, 121054,
108337, 121093,
108346, 121139,
108346, 121162,
108346, 121162,
108338, 121179,
108342, 121220,
108341, 121224,
108342, 121222,
108332, 121223,
108322, 121218,
108313, 121228,
108309, 121232,
108296, 121223,
108275, 121215,
108279, 121207,
108265, 121211,
108258, 121219,
108269, 121232,
108262, 121246,
108248, 121253,
108237, 121245,
108231, 121243,
108226, 121242,
108228, 121261,
108222, 121266,
108225, 121282,
108219, 121296,
108210, 121298,
108199, 121291,
108203, 121282,
108208, 121309,
108207, 121314,
108196, 121317,
108189, 121318,
108188, 121315,
108183, 121319,
108178, 121337,
108186, 121333,
108173, 121343,
108171, 121342,
108173, 121367,
108174, 121373,
108156, 121336,
108126, 121285,
108082, 121214,
108055, 121141,
108037, 121114,
108026, 121143,
108037, 121144,
108049, 121182,
108053, 121220,
108054, 121233,
108035, 121227,
108033, 121233,
108032, 121247,
108027, 121269,
108021, 121260,
108010, 121249,
107986, 121234,
107971, 121198,
107951, 121175,
107939, 121162,
107944, 121179,
107945, 121187,
107930, 121186,
107923, 121183,
107931, 121181,
107918, 121216,
107919, 121208,
107914, 121205,
107896, 121185,
107889, 121182,
107884, 121181,
107876, 121184,
107879, 121195,
107888, 121205,
107881, 121202,
107862, 121187,
107862, 121189,
107862, 121196,
107864, 121210,
107867, 121226,
107870, 121248,
107858, 121231,
107871, 121254,
107854, 121264,
107850, 121260,
107856, 121246,
107852, 121269,
107854, 121282,
107832, 121245,
107796, 121175,
107753, 121077,
107729, 120996,
107706, 120967,
107717, 120985,
107726, 121033,
107731, 121084,
107734, 121104,
107738, 121123,
107728, 121127,
107737, 121131,
107746, 121164,
107748, 121182,
107734, 121176,
107724, 121181,
107733, 121178,
107721, 121174,
107705, 121154,
107695, 121143,
107686, 121140,
107678, 121139,
107682, 121154,
107681, 121171,
107681, 121172,
107681, 121186,
107670, 121174,
107656, 121171,
107658, 121187,
107669, 121212,
107669, 121230,
107665, 121223,
107659, 121220,
107662, 121229,
107626, 121235,
107653, 121196,
107654, 121232,
107650, 121240,
107650, 121263,
107646, 121259,
107639, 121267,
107634, 121251,
107618, 121236,
107609, 121232,
107610, 121235,
107611, 121248,
107613, 121267,
107597, 121244,
107571, 121184,
107525, 121065,
107482, 120958,
107461, 120923,
107454, 120932,
107462, 120948,
107449, 120984,
107473, 121012,
107479, 121063,
107475, 121085,
107489, 121111,
107490, 121155,
107500, 121156,
107491, 121160,
107478, 121143,
107472, 121143,
107474, 121137,
107460, 121135,
107448, 121132,
107464, 121135,
107455, 121138,
107453, 121155,
107461, 121162,
107451, 121166,
107461, 121186,
107442, 121217,
107461, 121208,
107468, 121247,
107478, 121271,
107471, 121273,
107469, 121270,
107469, 121287,
107465, 121279,
107459, 121280,
107454, 121279,
107438, 121271,
107444, 121279,
107438, 121277,
107445, 121277,
107442, 121286,
107444, 121283,
107452, 121311,
107488, 121350,
107510, 121387,
107522, 121423,
107536, 121439,
107522, 121413,
107478, 121316,
107440, 121189,
107426, 121130,
107408, 121088,
107404, 121088,
107398, 121107,
107404, 121148,
107412, 121186,
107420, 121228,
107436, 121264,
107447, 121309,
107448, 121321,
107444, 121335,
107439, 121343,
107437, 121355,
