red,ir
72689, 115464
72690, 115466
72697, 115471
72702, 115471
72688, 115472
72691, 115463
72689, 115473
72686, 115467
72686, 115461
72687, 115450
72687, 115454
72683, 115451
72684, 115452
72680, 115453
72683, 115457
72662, 115455
72685, 115427
72688, 115462
72691, 115474
72694, 115481
72691, 115478
72692, 115475
72696, 115477
72694, 115468
72691, 115467
72689, 115468
72680, 115460
72679, 115462
72675, 115453
72678, 115446
72675, 115448
72672, 115430
72674, 115433
72674, 115421
72684, 115417
72660, 115421
72675, 115404
72683, 115416
72682, 115408
72689, 115419
72686, 115421
72684, 115414
72678, 115402
72682, 115413
72692, 115409
72695, 115417
72688, 115417
72682, 115423
72685, 115421
72684, 115411
72683, 115410
72687, 115410
72685, 115406
72691, 115409
72682, 115403
72686, 115409
72689, 115416
72689, 115410
72674, 115401
72686, 115405
72675, 115407
72678, 115406
72689, 115407
72682, 115421
72688, 115430
72685, 115433
72690, 115442
72690, 115446
72697, 115453
72695, 115457
72697, 115458
72694, 115466
72690, 115471
72692, 115472
72698, 115457
72704, 115478
72707, 115473
72704, 115470
72701, 115467
72694, 115443
72692, 115444
72690, 115429
72686, 115417
72679, 115405
72673, 115409
72675, 115398
72674, 115389
72668, 115384
72660, 115388
72659, 115378
72665, 115381
72651, 115376
72661, 115372
72649, 115362
72662, 115353
72653, 115372
72651, 115361
72651, 115362
72659, 115377
72650, 115367
72651, 115361
72648, 115357
72641, 115360
72645, 115365
72646, 115356
72647, 115370
72648, 115371
72647, 115371
72645, 115369
72645, 115366
72659, 115381
72667, 115391
72646, 115394
72650, 115372
72647, 115381
72653, 115396
72652, 115393
72649, 115386
72654, 115378
72650, 115365
72650, 115354
72651, 115345
72644, 115329
72644, 115336
72640, 115316
72639, 115317
72633, 115316
72639, 115316
72633, 115313
72640, 115323
72633, 115326
72643, 115326
72644, 115321
72641, 115323
72650, 115335
72650, 115327
72647, 115327
72637, 115328
72640, 115328
72643, 115333
72638, 115322
72633, 115321
72638, 115334
72643, 115334
72641, 115329
72645, 115337
72647, 115338
72648, 115346
72649, 115346
72648, 115348
72609, 115354
72646, 115305
72649, 115362
72661, 115362
72657, 115355
72655, 115372
72660, 115375
72649, 115376
72662, 115375
72666, 115383
72661, 115385
72656, 115385
72656, 115381
72657, 115389
72661, 115395
72664, 115394
72662, 115399
72665, 115383
72659, 115380
72677, 115369
72659, 115375
72649, 115342
72652, 115344
72658, 115337
72652, 115334
72654, 115332
72645, 115322
72642, 115322
72648, 115328
72646, 115323
72647, 115329
72646, 115318
72649, 115317
72646, 115329
72645, 115323
72645, 115321
72642, 115323
72647, 115314
72648, 115317
72648, 115303
72644, 115332
72642, 115320
72646, 115324
72649, 115328
72647, 115336
72648, 115339
72644, 115330
72647, 115343
72659, 115348
72658, 115362
72666, 115368
72670, 115383
72675, 115385
72678, 115391
72675, 115393
72684, 115400
72683, 115411
72693, 115411
72674, 115411
72688, 115404
72685, 115422
72692, 115426
72700, 115432
72700, 115443
72709, 115445
72709, 115452
72710, 115454
72704, 115458
72723, 115473
72722, 115474
72724, 115476
72721, 115462
72724, 115464
72727, 115455
72717, 115441
72708, 115426
72716, 115422
72723, 115423
72714, 115424
72713, 115397
72711, 115410
72718, 115414
72712, 115407
72708, 115399
72705, 115396
72708, 115407
72711, 115395
72711, 115391
72710, 115406
72709, 115394
72708, 115391
72701, 115387
72702, 115388
72709, 115393
72705, 115385
72697, 115382
72711, 115383
72695, 115397
72705, 115388
72703, 115383
72694, 115382
72704, 115389
72703, 115393
72700, 115386
72704, 115389
72700, 115393
72710, 115400
72702, 115400
72704, 115401
72703, 115398
72701, 115397
72704, 115402
72702, 115401
72699, 115396
72705, 115408
72707, 115411
72701, 115405
72702, 115406
72713, 115414
72709, 115416
72706, 115416
72711, 115414
72709, 115422
72710, 115410
72710, 115397
72708, 115384
72706, 115381
72707, 115374
72705, 115366
72706, 115359
72700, 115357
72700, 115350
72703, 115347
72699, 115348
72693, 115354
72669, 115353
72692, 115316
72698, 115343
72696, 115360
72695, 115355
72698, 115362
72698, 115356
72694, 115346
72696, 115349
72689, 115352
72688, 115343
72694, 115345
72685, 115348
72697, 115347
72695, 115342
72697, 115340
72694, 115341
72698, 115345
72680, 115351
72715, 115349
72687, 115381
72697, 115352
72693, 115359
72692, 115366
72693, 115379
72697, 115368
72697, 115366
72699, 115377
72703, 115383
72700, 115379
72705, 115381
72703, 115382
72705, 115385
72700, 115386
72701, 115395
72705, 115390
72703, 115395
72706, 115403
72704, 115398
72711, 115401
72705, 115393
72706, 115384
72708, 115381
72704, 115363
72702, 115354
72694, 115339
72698, 115326
72696, 115328
72693, 115315
72700, 115318
72699, 115323
72702, 115325
72701, 115328
72703, 115331
72709, 115338
72705, 115341
72707, 115335
72701, 115335
72699, 115341
72703, 115314
72708, 115331
72707, 115341
72715, 115338
72706, 115336
72709, 115343
72711, 115335
72702, 115335
72715, 115340
72713, 115341
72712, 115337
72706, 115340
72710, 115349
72710, 115352
72706, 115356
72711, 115359
72711, 115361
72716, 115364
72720, 115364
72695, 115375
72722, 115358
72713, 115383
72719, 115374
72722, 115382
72718, 115378
72719, 115391
72718, 115386
72729, 115395
72724, 115399
72726, 115397
72725, 115401
72727, 115400
72728, 115404
72730, 115420
72729, 115415
72732, 115416
72733, 115410
72738, 115412
72729, 115404
72731, 115378
72725, 115377
72730, 115368
72726, 115357
72721, 115349
72720, 115332
72716, 115340
72717, 115329
72713, 115320
72712, 115320
72708, 115321
72712, 115314
72718, 115322
72703, 115311
72711, 115321
72711, 115317
72713, 115307
72711, 115320
72711, 115318
72715, 115312
72712, 115309
72715, 115314
72720, 115318
72712, 115327
72712, 115322
72713, 115314
72715, 115324
72719, 115324
72716, 115327
72720, 115330
72720, 115339
72730, 115346
72731, 115348
72732, 115356
72734, 115367
72732, 115370
72741, 115373
72721, 115372
72736, 115364
72745, 115375
72743, 115385
72743, 115387
72746, 115400
72754, 115404
72756, 115413
72757, 115412
72757, 115414
72756, 115425
72767, 115421
72758, 115430
72757, 115432
72764, 115440
72761, 115438
72769, 115447
72765, 115443
72768, 115444
72791, 115438
72773, 115445
72766, 115407
72768, 115411
72767, 115397
72773, 115398
72768, 115389
72772, 115381
72767, 115376
72758, 115358
72753, 115350
72747, 115342
72752, 115338
72744, 115343
72752, 115339
72745, 115343
72742, 115337
72750, 115345
72749, 115336
72746, 115336
72753, 115341
72748, 115331
72747, 115335
72740, 115326
72742, 115338
72745, 115336
72748, 115342
72753, 115343
72754, 115343
72757, 115351
72762, 115356
72759, 115358
72762, 115361
72762, 115376
72763, 115379
72758, 115375
72769, 115376
72768, 115380
72769, 115378
72735, 115379
72766, 115345
72766, 115387
72769, 115390
72773, 115399
72782, 115426
72792, 115430
72788, 115427
72788, 115441
72798, 115447
72802, 115451
72805, 115463
72813, 115480
72819, 115480
72816, 115478
72816, 115494
72823, 115485
72820, 115495
72818, 115478
72831, 115465
72803, 115466
72812, 115439
72804, 115428
72802, 115417
72799, 115404
72791, 115399
72798, 115394
72792, 115389
72793, 115397
72788, 115388
72794, 115396
72789, 115391
72796, 115389
72805, 115401
72803, 115411
72812, 115409
72809, 115416
72812, 115408
72828, 115420
72816, 115422
72819, 115419
72825, 115436
72817, 115425
72819, 115420
72818, 115419
72812, 115422
72812, 115427
72811, 115414
72811, 115414
72809, 115415
72807, 115410
72809, 115418
72811, 115418
72809, 115424
72809, 115421
72810, 115428
72818, 115441
72821, 115433
72822, 115440
72818, 115442
72830, 115461
72832, 115458
72828, 115461
72831, 115458
72842, 115475
72846, 115486
72840, 115488
72849, 115491
72852, 115502
72850, 115500
72857, 115505
72854, 115494
72845, 115472
72848, 115464
72840, 115462
72846, 115442
72837, 115429
72808, 115419
72824, 115380
72830, 115409
72835, 115401
72834, 115411
72827, 115412
72830, 115400
72838, 115399
72831, 115413
72837, 115415
72849, 115415
72841, 115422
72844, 115424
72843, 115417
72845, 115417
72842, 115428
72837, 115423
72836, 115417
72843, 115413
72852, 115418
72841, 115449
72845, 115428
72845, 115447
72833, 115434
72796, 115396
72788, 115352
72762, 115326
72793, 115335
72816, 115389
72810, 115411
72799, 115392
72799, 115381
72803, 115386
72808, 115400
72806, 115404
72821, 115415
72829, 115435
72828, 115448
72838, 115467
72832, 115446
72798, 115419
72799, 115403
72827, 115418
72829, 115446
72826, 115449
72820, 115434
72818, 115411
72820, 115404
72811, 115402
72815, 115388
72808, 115372
72811, 115359
72799, 115333
72805, 115336
72806, 115343
72803, 115329
72805, 115331
72811, 115323
72794, 115322
72801, 115284
72809, 115325
72809, 115318
72797, 115318
72794, 115320
72801, 115317
72802, 115324
72796, 115317
72801, 115309
72792,115308
