,accelx,accely,accelz,mag, steps, total_t
0.05,0.14,-0.02,1.02,1.029757253,32, 20s
0.1,0.07,0.02,0.99,0.992673159,,
0.15,0.06,0.01,0.97,0.971905345,,
0.2,-0.03,-0.07,0.99,0.992924972,,
0.25,-0.05,-0.06,0.97,0.97313925,,
0.3,-0.05,-0.06,0.9,0.903382532,,
0.35,-0.08,-0.11,0.78,0.791770169,,
0.4,-0.13,-0.17,0.58,0.618223261,,
0.45,0.04,-0.5,0.4,0.641560597,,
0.5,0.44,-0.87,0.14,0.984936546,,
0.55,0.89,-1.26,0.19,1.554284401,,
0.6,0.98,-1.69,0.28,1.973550101,,
0.65,1.05,-1.81,0.24,2.106228857,,
0.7,1.05,-1.55,0.4,1.914418972,,
0.75,0.83,-1.27,0.24,1.536033854,,
0.8,1,-0.83,0.38,1.353994092,,
0.85,1.24,-0.61,0.42,1.444333756,,
0.9,1.28,-0.59,0.52,1.502298239,,
0.95,1.13,-0.96,0.45,1.549516053,,
1,0.78,-1.17,0.21,1.421759473,,
1.05,0.68,-1.37,0.12,1.534177304,,
1.1,0.75,-1.48,0.13,1.664271612,,
1.15,0.61,-1.4,-0.05,1.527939789,,
1.2,0.49,-1.21,-0.04,1.306062786,,
1.25,0.39,-0.94,-0.04,1.018479259,,
1.3,0.38,-0.75,0.01,0.84083292,,
1.35,0.41,-0.83,0.07,0.928385696,,
1.4,0.34,-0.86,0.02,0.924986486,,
1.45,0.35,-1.19,0.12,1.246194206,,
1.5,0.54,-1.28,0.28,1.417180299,,
1.55,0.67,-1.2,0.57,1.487884404,,
1.6,0.52,-1.3,0.44,1.467651185,,
1.65,0.21,-0.93,0.18,0.970257698,,
1.7,0.37,-0.88,0.08,0.957966596,,
1.75,0.72,-0.9,0.03,1.152952731,,
1.8,0.95,-0.62,0.11,1.139736812,,
1.85,1.05,-0.55,0.35,1.235920709,,
1.9,0.93,-0.76,0.32,1.242940063,,
1.95,0.94,-1.08,0.41,1.489328708,,
2,0.89,-1.32,0.4,1.641493223,,
2.05,0.75,-1.36,0.19,1.56467249,,
2.1,0.74,-1.33,0.17,1.531469882,,
2.15,0.5,-1.21,0.01,1.309274608,,
2.2,0.47,-1.07,-0.03,1.169059451,,
2.25,0.38,-0.93,-0.03,1.005087061,,
2.3,0.38,-0.81,-0.05,0.896102673,,
2.35,0.35,-0.74,-0.01,0.818657438,,
2.4,0.38,-0.83,-0.01,0.912907443,,
2.45,0.43,-1,0.1,1.093114816,,
2.5,0.55,-1.36,0.29,1.495392925,,
