,accelx,accely,accelz,mag, steps, time
0.05,0.54,-0.13,0.86,1.023767552,75,60
0.1,0.47,-0.01,0.89,1.006528688,,
0.15,0.49,0.04,0.92,1.043120319,,
0.2,0.4,-0.17,0.88,0.981478477,,
0.25,0.24,-0.33,0.65,0.767463354,,
0.3,0.1,-0.36,0.37,0.525832673,,
0.35,0.06,-0.51,0.35,0.621449918,,
0.4,0.1,-0.82,0.05,0.827586853,,
0.45,0.47,-1.29,-0.21,1.388920444,,
0.5,0.99,-1.93,-0.19,2.177406714,,
0.55,1.59,-2,0.22,2.564468756,,
0.6,1.66,-1.46,0.54,2.275697695,,
0.65,0.79,-0.79,0.19,1.133269606,,
0.7,0.75,-0.94,0.12,1.208511481,,
0.75,1.3,-0.77,0.22,1.526859522,,
0.8,1.1,-0.86,0.35,1.439479072,,
0.85,0.9,-1,0.28,1.374190671,,
0.9,0.79,-1.44,0.17,1.651241957,,
0.95,0.44,-1.48,-0.04,1.544538766,,
1,0.37,-1.38,0.03,1.429055632,,
1.05,0.34,-0.93,0.04,0.991009586,,
1.1,0.44,-0.82,0.08,0.934023554,,
1.15,0.43,-0.73,0.11,0.854341852,,
1.2,0.36,-0.78,0.06,0.861162006,,
1.25,0.31,-1.06,0.04,1.105124427,,
1.3,0.47,-1.47,0.2,1.556213353,,
1.35,0.83,-1.15,0.84,1.648332491,,
1.4,0.51,-0.94,0.41,1.145338378,,
1.45,0.09,-1.11,-0.09,1.117273467,,
1.5,0.22,-1.01,-0.05,1.034891299,,
1.55,0.89,-0.81,0.04,1.20407641,,
1.6,1.29,-0.51,0.41,1.446478482,,
1.65,1.04,-0.37,0.48,1.203702621,,
1.7,0.9,-0.39,0.46,1.083374358,,
1.75,0.76,-0.9,0.31,1.218072247,,
1.8,0.68,-1.62,0.32,1.785833139,,
1.85,0.54,-1.61,0.39,1.742354729,,
1.9,0.66,-1.4,0.35,1.58685223,,
1.95,0.61,-1.25,0.19,1.403816227,,
2,0.49,-1.06,0.12,1.17392504,,
2.05,0.4,-0.91,0.01,0.994082492,,
2.1,0.38,-0.85,-0.07,0.933702308,,
2.15,0.31,-0.65,-0.06,0.722634071,,
2.2,0.38,-0.63,-0.01,0.735798886,,
2.25,0.36,-0.64,-0.06,0.736749618,,
2.3,0.45,-1.11,0.06,1.199249765,,
2.35,0.66,-1.59,0.26,1.741062894,,
2.4,0.84,-1.34,0.76,1.754650962,,
2.45,0.4,-0.91,0.58,1.150869237,,
2.5,0.14,-1.07,0.14,1.088163591,,
2.55,0.24,-0.96,0.12,0.996794864,,
2.6,0.9,-0.85,0.28,1.269212354,,
2.65,0.94,-0.6,0.42,1.191637529,,
2.7,0.91,-0.4,0.53,1.126499001,,
2.75,0.69,-0.59,0.34,0.969432824,,
2.8,0.59,-1.01,0.23,1.192098989,,
2.85,0.6,-1.39,0.37,1.558524944,,
2.9,0.85,-1.55,0.38,1.808148224,,
2.95,0.63,-1.31,0.21,1.468706914,,
3,0.5,-1.21,0.12,1.314724306,,
3.05,0.34,-1.04,0,1.094166349,,
3.1,0.63,-0.78,0.14,1.012373449,,
3.15,0.65,-0.72,0.08,0.973293378,,
3.2,0.38,-0.63,-0.04,0.736817481,,
3.25,0.28,-0.51,-0.03,0.582580467,,
3.3,0.31,-0.7,0.04,0.76661594,,
3.35,0.48,-1.23,0.17,1.331240023,,
3.4,0.49,-1.68,0.33,1.780842497,,
3.45,0.44,-1.08,0.82,1.425622671,,
3.5,0.4,-1.21,0.44,1.34822105,,
3.55,0.19,-1.03,0.27,1.081619157,,
3.6,0.55,-0.8,0.26,1.005037313,,
3.65,0.78,-0.56,0.22,0.985088828,,
3.7,0.86,-0.37,0.31,0.986204847,,
3.75,0.85,-0.37,0.39,1.005733563,,
3.8,0.71,-0.73,0.31,1.0644717,,
3.85,0.62,-0.99,0.27,1.198916177,,
3.9,0.91,-1.41,0.49,1.748227674,,
3.95,0.74,-1.57,0.39,1.778932264,,
4,0.77,-1.45,0.34,1.67660371,,
4.05,0.47,-1.52,0.15,1.598061325,,
4.1,0.47,-0.96,0.17,1.082312339,,
4.15,0.43,-0.89,0.16,1.001299156,,
4.2,0.33,-0.67,0.03,0.747462374,,
4.25,0.17,-0.54,-0.01,0.566215507,,
4.3,0.29,-0.65,0.05,0.713512439,,
4.35,0.32,-0.96,0.07,1.014347081,,
4.4,0.49,-1.48,0.19,1.570541308,,
4.45,0.77,-2,0.51,2.202952564,,
4.5,0.79,-1.36,0.75,1.742469512,,
4.55,0.41,-1.17,0.21,1.257417989,,
4.6,0.35,-1.01,0.02,1.069111781,,
4.65,0.55,-0.95,-0.07,1.099954545,,
4.7,0.92,-0.77,-0.09,1.203079382,,
4.75,0.97,-0.41,0.06,1.054798559,,
4.8,0.76,-0.34,0.18,0.851821578,,
4.85,0.76,-0.42,0.31,0.922008677,,
4.9,0.86,-0.66,0.36,1.142278425,,
4.95,1.13,-1.4,0.53,1.87557991,,
5,0.83,-1.6,0.36,1.83806964,,
5.05,0.61,-1.84,0.44,1.987787715,,
5.1,0.14,-1.79,0.33,1.825541016,,
5.15,0.53,-1.12,0.31,1.277262698,,
5.2,0.48,-0.95,0.23,1.088944443,,
5.25,0.29,-0.68,0.08,0.743572458,,
5.3,0.08,-0.46,-0.02,0.467332858,,
5.35,0.13,-0.37,0.04,0.394208067,,
5.4,0.3,-0.58,0.14,0.667832314,,
5.45,0.38,-1.33,0.23,1.402212537,,
5.5,0.79,-2,0.32,2.174051517,,
5.55,0.78,-1.58,0.89,1.974056737,,
5.6,0.48,-1.26,0.19,1.361653407,,
5.65,0.26,-1.08,-0.2,1.128716085,,
5.7,0.75,-0.89,-0.18,1.177709642,,
5.75,0.86,-0.68,-0.21,1.116288493,,
5.8,0.79,-0.36,-0.27,0.909175451,,
5.85,0.64,-0.25,-0.1,0.694334213,,
5.9,0.9,-0.39,0.26,1.014741346,,
5.95,1.25,-0.73,0.42,1.50724915,,
6,1.08,-1.12,0.24,1.574293492,,
6.05,1.05,-1.58,0.48,1.956859729,,
6.1,0.88,-1.32,0.56,1.682379268,,
6.15,0.72,-1.69,0.29,1.859731163,,
6.2,0.41,-1.54,0.09,1.596182947,,
6.25,0.19,-1.09,0.04,1.107158525,,
6.3,0.19,-0.79,0.06,0.814739222,,
6.35,0.26,-0.63,0.05,0.683373983,,
6.4,0.23,-0.51,-0.02,0.5598214,,
6.45,0.3,-0.59,-0.02,0.662193325,,
6.5,0.46,-0.89,0.11,1.007869039,,
6.55,0.56,-1.37,0.19,1.492179614,,
6.6,0.84,-2,0.45,2.21542321,,
6.65,0.93,-1.5,0.88,1.972130827,,
6.7,0.27,-1,0.28,1.072986486,,
6.75,0.13,-0.95,0,0.958853482,,
6.8,0.57,-0.89,0.04,1.05763888,,
6.85,0.97,-0.62,0.12,1.157454103,,
6.9,0.92,-0.32,0.34,1.03169763,,
6.95,0.66,-0.32,0.39,0.830722577,,
7,0.71,-0.36,0.42,0.900055554,,
7.05,0.59,-0.62,0.21,0.881249113,,
7.1,0.55,-1.13,0.14,1.264515718,,
7.15,0.96,-1.78,0.64,2.121226061,,
7.2,0.94,-1.44,0.63,1.831420214,,
7.25,0.54,-1.59,0.25,1.697704332,,
7.3,0.53,-1.56,0.3,1.674664145,,
7.35,0.29,-1.09,0.23,1.15112988,,
7.4,0.35,-0.71,0.19,0.81406388,,
7.45,0.25,-0.63,0.12,0.688331316,,
7.5,0.2,-0.51,0.09,0.555157635,,
7.55,0.23,-0.64,0.1,0.687386354,,
7.6,0.34,-1.01,0.15,1.076197008,,
7.65,0.43,-1.74,0.1,1.795132307,,
7.7,0.81,-2,0.02,2.15789249,,
7.75,0.95,-1.22,0.33,1.581075583,,
7.8,0.63,-1.11,0.01,1.276362018,,
7.85,0.54,-0.97,-0.14,1.118972743,,
7.9,0.67,-0.7,-0.24,0.998248466,,
7.95,0.78,-0.43,-0.13,0.900111104,,
8,0.77,-0.34,0.1,0.847643793,,
8.05,0.71,-0.35,0.25,0.830120473,,
8.1,0.9,-0.7,0.49,1.241007655,,
8.15,0.93,-0.82,0.49,1.333191659,,
8.2,1.24,-1.19,0.58,1.81386328,,
8.25,0.71,-1.19,0.6,1.510033112,,
8.3,0.83,-1.07,0.58,1.473159869,,
8.35,0.77,-1.29,0.41,1.557273258,,
8.4,0.5,-1.36,0.2,1.46273716,,
8.45,0.32,-1.12,0.17,1.177157594,,
8.5,0.26,-0.93,0.12,0.973087869,,
8.55,0.26,-0.77,0.14,0.824681757,,
8.6,0.3,-0.65,0.12,0.725878778,,
8.65,0.33,-0.82,0.16,0.898276127,,
8.7,0.4,-1.23,0.14,1.300961183,,
8.75,0.75,-1.63,0.51,1.865341792,,
8.8,0.63,-1.34,0.35,1.521512405,,
8.85,0.33,-1.15,0,1.196411301,,
8.9,0.49,-0.91,-0.04,1.034311365,,
8.95,0.96,-0.77,0.03,1.231015841,,
